partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds
P4,G2,B_aircraft,G2-B_aircraft-01,T013,1845.0,3803.041271486995,T021,0.9587285130050986
P4,G2,B_aircraft,G2-B_aircraft-01,T021,3804.0,5702.041271486994,,
P4,G2,B_aircraft,G2-B_aircraft-02,T015,0.0,1554.5713591276817,T009,0.4286408723182831
P4,G2,B_aircraft,G2-B_aircraft-02,T009,1555.0,2824.9799172692683,T023,1376.0200827307317
P4,G2,B_aircraft,G2-B_aircraft-02,T023,4201.0,5720.024344411855,,
P4,G2,C_aircraft,G2-C_aircraft-01,T012,1430.0,3545.081641278453,T018,0.9183587215470652
P4,G2,C_aircraft,G2-C_aircraft-01,T018,3546.0,5981.809520857649,,
P4,G2,C_aircraft,G2-C_aircraft-02,T010,1725.0,4129.5978829102805,T019,0.4021170897194679
P4,G2,C_aircraft,G2-C_aircraft-02,T019,4130.0,6369.184064967842,,
P4,G2,A_batteries,G2-A_batteries-01,T004,0.0,3649.403580614774,T016,984.596419385226
P4,G2,A_batteries,G2-A_batteries-01,T016,4634.0,7465.734416824666,,
P4,G2,A_batteries,G2-A_batteries-02,T011,0.0,3488.424083728015,T022,0.5759162719850792
P4,G2,A_batteries,G2-A_batteries-02,T022,3489.0,6356.028992918405,,
P4,G2,A_batteries,G2-A_batteries-03,T017,0.0,3707.4110579615462,T020,220.58894203845375
P4,G2,A_batteries,G2-A_batteries-03,T020,3928.0,7138.210497663895,,
P4,G2,A_batteries,G2-A_batteries-04,T002,1329.0,5423.080232101528,,
P4,G2,A_batteries,G2-A_batteries-05,T014,2153.0,6041.865329852893,,
P4,G2,A_batteries,G2-A_batteries-06,T007,2282.0,6343.304360192513,,
P4,G2,B_batteries,G2-B_batteries-01,T008,0.0,3433.200853234949,T023,767.7991467650509
P4,G2,B_batteries,G2-B_batteries-01,T023,4201.0,7184.706428350346,,
P4,G2,B_batteries,G2-B_batteries-02,T015,0.0,3010.3575010505742,T021,793.6424989494258
P4,G2,B_batteries,G2-B_batteries-02,T021,3804.0,7569.223423404604,,
P4,G2,B_batteries,G2-B_batteries-03,T009,1555.0,4021.992001224441,,
P4,G2,B_batteries,G2-B_batteries-04,T013,1845.0,5762.286898972586,,
P4,G2,C_batteries,G2-C_batteries-01,T012,1430.0,6037.747358730121,,
P4,G2,C_batteries,G2-C_batteries-02,T010,1725.0,6211.472794610201,,
P4,G2,C_batteries,G2-C_batteries-03,T018,3546.0,8480.163800832162,,
P4,G2,C_batteries,G2-C_batteries-04,T019,4130.0,8837.86184638789,,
P4,G2,relay_aircraft,G2-relay_aircraft-01,R003,2.0421667087841797,2472.20132134867,R001,0.9360976807388397
P4,G2,relay_aircraft,G2-relay_aircraft-01,R001,2473.1374190294086,6631.297538856334,,
P4,G2,relay_aircraft,G2-relay_aircraft-02,R002,83.49083744349923,6690.534653380882,,
P4,G2,relay_components,G2-relay_components-01,R003,2.0421667087841797,2903.8721254502975,,
P4,G2,relay_components,G2-relay_components-02,R002,83.49083744349923,7640.401271705988,,
P4,G2,relay_components,G2-relay_components-03,R001,2473.1374190294086,7267.893137978243,,
P4,G3,B_aircraft,G3-B_aircraft-01,T006,3011.0,4200.630285736439,,
P4,G3,B_batteries,G3-B_batteries-01,T006,3011.0,5334.07116269932,,
