partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P124_35_6,G1,S001|S002|S004|S006|S008|S009,43,423.0,12,2,30172.893532316535,39.87722919442627,1,0.10321457770979271,2,0.33069835056137586,2,0.4293523844393493,1,0.17316246713914715,2,0.6513330405573453,4,0.4433586952854598,1,0.7901922381803081,1,0.9089467016534187
P124_35_6,G2,S003|S005|S007|S010|S012|S013|S014|S015,34,310.0,14,4,37490.549393227404,40.370589617433176,3,0.5509869044794954,2,0.14808533660922665,1,0.3710973910564457,5,0.5385740343690627,2,0.28071949359594095,1,0.7404097150731105,2,0.525474665426009,2,0.612012275790056
P124_35_6,G3,S011,3,25.0,1,0,1189.630285736439,1.077171254529726,0,0.0,1,0.5120937769095865,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P124_36_5,G1,S001|S002|S004|S006|S008|S009,43,423.0,12,2,30172.893532316535,39.87722919442627,1,0.10321457770979271,2,0.33069835056137586,2,0.4293523844393493,1,0.17316246713914715,2,0.6513330405573453,4,0.4433586952854598,1,0.7901922381803081,1,0.9089467016534187
P124_36_5,G2,S003|S005|S007|S011|S015,25,235.0,10,2,24696.226060214514,28.39940115145782,2,0.6030034030353387,1,0.11127135437815282,1,0.3983661807225494,4,0.49205658074565656,1,0.21728706614960197,1,0.7948161250173869,1,0.6504229724507927,1,0.7536908898931718
P124_36_5,G3,S010|S012|S013|S014,12,100.0,5,2,13983.953618749325,13.04835972050508,2,0.3226054631986913,2,0.18044385379501557,0,0.0,2,0.5235778365405777,2,0.3420602499861604,0,0.0,1,0.5422976235860493,1,0.635972188785973
P124_3_56,G1,S001|S002|S004|S006|S008|S009,43,423.0,12,2,30172.893532316535,39.87722919442627,1,0.10321457770979271,2,0.33069835056137586,2,0.4293523844393493,1,0.17316246713914715,2,0.6513330405573453,4,0.4433586952854598,1,0.7901922381803081,1,0.9089467016534187
P124_3_56,G2,S003|S005|S007|S015,22,210.0,9,2,23506.595774478075,27.322229896928096,2,0.6030034030353387,0,0.0,1,0.3983661807225494,4,0.49205658074565656,0,0.0,1,0.7948161250173869,1,0.6504229724507927,1,0.7536908898931718
P124_3_56,G3,S010|S011|S012|S013|S014,15,125.0,6,2,15173.583904485764,14.125530975034806,2,0.3226054631986913,2,0.24359610765168677,0,0.0,2,0.5235778365405777,2,0.4653819084483782,0,0.0,1,0.5422976235860493,1,0.635972188785973
P1256_34,G1,S001|S002|S004|S008|S009|S010|S011|S012|S013|S014,52,489.0,16,4,42597.42813950732,50.37763868027374,2,0.23831168593945573,2,0.510645083413227,2,0.3731561407733583,2,0.3867718658864423,4,0.4975575138601235,4,0.3868734752892167,2,0.5953962932973031,2,0.689372665639066
P1256_34,G2,S003|S005|S006|S007|S015,28,269.0,11,2,26255.645071773055,30.94735138611543,3,0.4430331351072457,0,0.0,1,0.5324042566315969,4,0.5436845063881346,0,0.0,2,0.5321353985668795,1,0.6504229724507927,1,0.7536908898931718
P1256_3_4,G1,S001|S002|S004|S008|S009|S010|S011|S012|S013|S014,52,489.0,16,4,42597.42813950732,50.37763868027374,2,0.23831168593945573,2,0.510645083413227,2,0.3731561407733583,2,0.3867718658864423,4,0.4975575138601235,4,0.3868734752892167,2,0.5953962932973031,2,0.689372665639066
