scheme,sortie,model,resource_type,resource_id,activity,start_s,end_s
original_energy,T015,B,aircraft,U06,flight,3668.595220887829,5626.636492374824
original_energy,T015,B,battery,B01,flight,3668.595220887829,5626.636492374824
original_energy,T015,B,battery,B01,charging,5626.636492374824,7585.882119860415
original_energy,T016,C,aircraft,U07,flight,3610.5078187959184,5783.6918837637595
original_energy,T016,C,battery,C02,flight,3610.5078187959184,5783.6918837637595
original_energy,T016,C,battery,C02,charging,5783.6918837637595,8117.442936285039
original_energy,T017,C,aircraft,U08,flight,4607.747358730121,7043.55687958777
original_energy,T017,C,battery,C01,flight,4607.747358730121,7043.55687958777
original_energy,T017,C,battery,C01,charging,7043.55687958777,9541.911159562284
original_energy,T018,A,aircraft,U04,flight,2178.7887122874713,4726.829609396393
original_energy,T018,A,battery,A01,flight,2178.7887122874713,4726.829609396393
original_energy,T018,A,battery,A01,charging,4726.829609396393,6119.482359804604
original_energy,T019,B,aircraft,U05,flight,4021.630551834433,6304.762658518966
original_energy,T019,B,battery,B02,flight,4021.630551834433,6304.762658518966
original_energy,T019,B,battery,B02,charging,6304.762658518966,8309.692792575179
original_energy,T020,B,aircraft,U06,flight,5626.636492374824,7524.677763861819
original_energy,T020,B,battery,B03,flight,5626.636492374824,7524.677763861819
original_energy,T020,B,battery,B03,charging,7524.677763861819,9391.859915779429
original_energy,T021,A,aircraft,U02,flight,2281.4599588363917,3977.218063504856
original_energy,T021,A,battery,A03,flight,2281.4599588363917,3977.218063504856
original_energy,T021,A,battery,A03,charging,3977.218063504856,5092.412387984555
original_energy,T022,C,aircraft,U07,flight,5783.6918837637595,7531.736524399572
original_energy,T022,C,battery,C04,flight,5783.6918837637595,7531.736524399572
original_energy,T022,C,battery,C04,charging,7531.736524399572,9394.759820938134
original_energy,T023,A,aircraft,U01,flight,3496.43027828567,5187.964764524619
original_energy,T023,A,battery,A04,flight,3496.43027828567,5187.964764524619
original_energy,T023,A,battery,A04,charging,5187.964764524619,6363.459271204074
original_energy,T024,A,aircraft,U03,flight,3659.86128912896,4883.3965026634405
original_energy,T024,A,battery,A02,flight,3659.86128912896,4883.3965026634405
original_energy,T024,A,battery,A02,charging,4883.3965026634405,5717.20480954163
original_energy,T025,A,aircraft,U02,flight,4891.5950100041855,6801.804856981005
original_energy,T025,A,battery,A05,flight,4891.5950100041855,6801.804856981005
original_energy,T025,A,battery,A05,charging,6801.804856981005,7984.869775288056
refined_energy,T002,B,aircraft,U05,flight,0.0,1914.349578812606
refined_energy,T002,B,battery,B04,flight,0.0,1914.349578812606
refined_energy,T002,B,battery,B04,charging,1914.349578812606,3595.673759185719
refined_energy,T004,A,aircraft,U04,flight,0.0,1712.4416357195464
refined_energy,T004,A,battery,A06,flight,0.0,1712.4416357195464
refined_energy,T004,A,battery,A06,charging,1712.4416357195464,2761.062337358848
refined_energy,T005,A,aircraft,U03,flight,0.0,1312.470877312685
refined_energy,T005,A,battery,A05,flight,0.0,1312.470877312685
refined_energy,T005,A,battery,A05,charging,1312.470877312685,2178.7887122874713
refined_energy,T006,C,aircraft,U08,flight,0.0,2404.597882910281
refined_energy,T006,C,battery,C02,flight,0.0,2404.597882910281
refined_energy,T006,C,battery,C02,charging,2404.597882910281,4398.672189448818
refined_energy,T007,A,aircraft,U02,flight,0.0,2281.4599588363917
refined_energy,T007,A,battery,A04,flight,0.0,2281.4599588363917
refined_energy,T007,A,battery,A04,charging,2281.4599588363917,3649.403580614774
refined_energy,T008,B,aircraft,U06,flight,0.0,1209.979917269268
refined_energy,T008,B,battery,B02,flight,0.0,1209.979917269268
refined_energy,T008,B,battery,B02,charging,1209.979917269268,2352.630298205151
refined_energy,T009,C,aircraft,U07,flight,0.0,1495.4261775174655
refined_energy,T009,C,battery,C03,flight,0.0,1495.4261775174655
refined_energy,T009,C,battery,C03,charging,1495.4261775174655,3052.6165531873967
refined_energy,T024,A,aircraft,U01,flight,0.0,1223.5352135344808
refined_energy,T024,A,battery,A03,flight,0.0,1223.5352135344808
refined_energy,T024,A,battery,A03,charging,1223.5352135344808,2057.343520412671
refined_energy,T010,B,aircraft,U06,flight,1209.979917269268,3317.260890291095
refined_energy,T010,B,battery,B03,flight,1209.979917269268,3317.260890291095
refined_energy,T010,B,battery,B03,charging,3317.260890291095,4990.4434477157765
refined_energy,T018,A,aircraft,U01,flight,1223.5352135344808,3771.576110643403
refined_energy,T018,A,battery,A02,flight,1223.5352135344808,3771.576110643403
refined_energy,T018,A,battery,A02,charging,3771.576110643403,5164.228861051614
refined_energy,T021,A,aircraft,U03,flight,1312.470877312685,3008.2289819811494
refined_energy,T021,A,battery,A01,flight,1312.470877312685,3008.2289819811494
refined_energy,T021,A,battery,A01,charging,3008.2289819811494,4123.423306460848
refined_energy,T001,C,aircraft,U07,flight,1495.4261775174655,3610.5078187959184
refined_energy,T001,C,battery,C01,flight,1495.4261775174655,3610.5078187959184
refined_energy,T001,C,battery,C01,charging,3610.5078187959184,6103.1735362475865
refined_energy,T012,B,aircraft,U05,flight,1914.349578812606,4021.630551834433
refined_energy,T012,B,battery,B01,flight,1914.349578812606,4021.630551834433
refined_energy,T012,B,battery,B01,charging,4021.630551834433,5670.129045329275
refined_energy,T011,A,aircraft,U04,flight,2057.343520412671,4187.982609172253
refined_energy,T011,A,battery,A03,flight,2057.343520412671,4187.982609172253
refined_energy,T011,A,battery,A03,charging,4187.982609172253,5545.767604140686
refined_energy,T013,A,aircraft,U02,flight,2281.4599588363917,4465.419359809377
refined_energy,T013,A,battery,A05,flight,2281.4599588363917,4465.419359809377
refined_energy,T013,A,battery,A05,charging,4465.419359809377,5860.584091527893
refined_energy,T003,C,aircraft,U08,flight,2404.597882910281,3900.0240604277465
refined_energy,T003,C,battery,C04,flight,2404.597882910281,3900.0240604277465
refined_energy,T003,C,battery,C04,charging,3900.0240604277465,5443.234978448
refined_energy,T014,A,aircraft,U03,flight,3008.2289819811494,5352.07605669312
refined_energy,T014,A,battery,A06,flight,3008.2289819811494,5352.07605669312
refined_energy,T014,A,battery,A06,charging,5352.07605669312,6731.995380004926
refined_energy,T020,B,aircraft,U06,flight,3317.260890291095,5215.3021617780905
refined_energy,T020,B,battery,B02,flight,3317.260890291095,5215.3021617780905
refined_energy,T020,B,battery,B02,charging,5215.3021617780905,7082.4843136957
refined_energy,T016,C,aircraft,U07,flight,3610.5078187959184,5783.6918837637595
refined_energy,T016,C,battery,C03,flight,3610.5078187959184,5783.6918837637595
refined_energy,T016,C,battery,C03,charging,5783.6918837637595,8117.442936285039
refined_energy,T015,B,aircraft,U05,flight,4021.630551834433,5979.671823321428
refined_energy,T015,B,battery,B04,flight,4021.630551834433,5979.671823321428
refined_energy,T015,B,battery,B04,charging,5979.671823321428,7938.917450807019
refined_energy,T025,A,aircraft,U04,flight,4187.982609172253,6098.192456149072
refined_energy,T025,A,battery,A04,flight,4187.982609172253,6098.192456149072
refined_energy,T025,A,battery,A04,charging,6098.192456149072,7281.257374456123
refined_energy,T017,C,aircraft,U08,flight,4398.672189448818,6834.481710306467
refined_energy,T017,C,battery,C02,flight,4398.672189448818,6834.481710306467
refined_energy,T017,C,battery,C02,charging,6834.481710306467,9332.83599028098
refined_energy,T019,B,aircraft,U06,flight,5215.3021617780905,7498.434268462624
refined_energy,T019,B,battery,B03,flight,5215.3021617780905,7498.434268462624
refined_energy,T019,B,battery,B03,charging,7498.434268462624,9503.364402518835
refined_energy,T022,C,aircraft,U07,flight,5783.6918837637595,7531.736524399572
refined_energy,T022,C,battery,C04,flight,5783.6918837637595,7531.736524399572
refined_energy,T022,C,battery,C04,charging,7531.736524399572,9394.759820938134
refined_energy,T023,B,aircraft,U05,flight,5979.671823321428,7480.450559936286
refined_energy,T023,B,battery,B01,flight,5979.671823321428,7480.450559936286
refined_energy,T023,B,battery,B01,charging,7480.450559936286,9016.453001898017
