sortie,phase_index,start,end,mode,relay_sortie,margin_lower_db,status
T012,3,3049.0624608744824,3389.0246440219894,relay,R003,4.282255880880729,PASS
T012,3,3389.0246440219894,3389.111640235256,relay,R003,4.282255880880729,PASS
T012,3,3389.111640235256,3445.0624608744824,relay,R003,4.282255880880729,PASS
T012,4,3445.0624608744824,3481.749692319795,relay,R003,4.282255880880729,PASS
T012,5,3481.749692319795,3729.5919672634313,relay,R003,6.076162459559777,PASS
T012,5,3729.5919672634313,3853.5131047352497,relay,R003,1.6482283617877638,PASS
T012,5,3853.5131047352497,3977.4342422070686,direct,,5.527276229327612,PASS
T012,6,3977.4342422070686,4069.193281513709,direct,,26.67445965789765,PASS
T013,0,3455.540951687861,3535.4939078239286,direct,,24.102895398396285,PASS
T013,1,3535.4939078239286,3805.8093072793363,direct,,8.773665138270266,PASS
T013,1,3805.8093072793363,4076.1247067347435,relay,R003,2.1702216187923113,PASS
T013,2,4076.1247067347435,4114.7882540980245,relay,R003,2.1632287616382335,PASS
T013,3,4114.7882540980245,4354.7882540980245,relay,R003,2.1632287616382335,PASS
T013,4,4354.7882540980245,4387.00787690076,relay,R003,2.1632287616382335,PASS
T013,5,4387.00787690076,4720.12915154736,relay,R003,2.1697790789407687,PASS
T013,5,4720.12915154736,4721.540951687861,direct,,1.0614565754695668,PASS
T013,5,4721.540951687861,4927.638675811574,direct,,1.1204569754847604,PASS
T013,6,4927.638675811574,5023.582223174855,direct,,24.102895398396285,PASS
T014_1,0,4364.129251547361,4430.366214437986,direct,,25.902754877149746,PASS
T014_1,1,4430.366214437986,4720.12915154736,direct,,0.1098329819987729,PASS
T014_1,1,4720.12915154736,4720.129251547361,direct,,0.10982999231196722,PASS
T014_1,1,4720.129251547361,4872.20061507951,relay,R002,1.5450363200545851,PASS
T014_1,2,4872.20061507951,4924.764970548259,relay,R002,1.5198508951701708,PASS
T014_1,3,4924.764970548259,5134.76497054826,relay,R002,1.5198508951701708,PASS
T014_1,4,5134.76497054826,5178.568600105551,relay,R002,1.5198508951701708,PASS
T014_1,5,5178.568600105551,5620.403000747076,relay,R002,1.5447792394582844,PASS
T014_1,6,5620.403000747076,5699.887356215825,direct,,25.902754877149803,PASS
T014_2,0,3432.606730665684,3540.8223971695907,direct,,22.968262608738186,PASS
T014_2,1,3540.8223971695907,3799.0107885946563,direct,,9.167057647646672,PASS
T014_2,1,3799.0107885946563,4057.199180019722,relay,R003,5.824767232492015,PASS
T014_2,2,4057.199180019722,4142.168763149604,relay,R003,8.427562711646836,PASS
T014_2,3,4142.168763149604,4538.168763149604,relay,R003,8.427562711646836,PASS
T014_2,4,4538.168763149604,4606.144429653511,relay,R003,8.427562711646836,PASS
T014_2,5,4606.144429653511,4720.12915154736,relay,R003,8.489690758830264,PASS
T014_2,5,4720.12915154736,4721.606730665684,relay,R003,1.1640201594703097,PASS
T014_2,5,4721.606730665684,4922.063971584663,relay,R003,3.7700158919224336,PASS
T014_2,5,4922.063971584663,5122.521212503642,direct,,1.3534469031054979,PASS
T014_2,6,5122.521212503642,5257.790795633526,direct,,22.968262608738186,PASS
T015,0,1895.9694925601793,1998.6150044416897,direct,,21.759839664518097,PASS
T015,1,1998.6150044416897,2317.1772245328743,relay,R004,2.710217075986666,PASS
T015,2,2317.1772245328743,2350.7918387906866,relay,R004,0.739884337460925,PASS
T015,3,2350.7918387906866,2590.7918387906866,relay,R004,0.739884337460925,PASS
T015,4,2590.7918387906866,2618.804017338864,relay,R004,0.739884337460925,PASS
T015,5,2618.804017338864,2739.111540235256,relay,R004,0.8145661856189221,PASS
T015,5,2739.111540235256,2739.9694925601793,direct,,1.4386303996857013,PASS
T015,5,2739.9694925601793,2937.3662374300484,direct,,1.4759490279028142,PASS
T015,6,2937.3662374300484,3060.540851687861,direct,,21.759839664518097,PASS
T016,0,4650.571699071648,4716.808661962274,direct,,25.902754877149746,PASS
T016,1,4716.808661962274,4720.12915154736,direct,,25.692051437041364,PASS
T016,1,4720.12915154736,4720.571699071648,direct,,25.63396474012947,PASS
T016,1,4720.571699071648,5158.643062603797,relay,R002,1.5447873327519108,PASS
T016,2,5158.643062603797,5211.207418072547,relay,R002,1.5198508951701708,PASS
T016,3,5211.207418072547,5421.207418072547,relay,R002,1.5198508951701708,PASS
T016,4,5421.207418072547,5465.011047629839,relay,R002,1.5198508951701708,PASS
T016,5,5465.011047629839,5906.845448271362,relay,R002,1.5447792394582844,PASS
T016,6,5906.845448271362,5986.329803740113,direct,,25.902754877149746,PASS
T018,0,4830.234653593916,4979.886843535322,direct,,19.962509130395112,PASS
T018,1,4979.886843535322,5282.141619242411,relay,R002,4.684936344501038,PASS
T018,2,5282.141619242411,5358.806856669169,relay,R002,1.9162873468727888,PASS
T018,3,5358.806856669169,5574.806856669169,relay,R002,1.916287346872787,PASS
T018,4,5574.806856669169,5601.218392313701,relay,R002,1.916287346872787,PASS
T018,5,5601.218392313701,5783.406350980044,relay,R002,2.7389681854779315,PASS
T018,6,5783.406350980044,5821.4207705357085,relay,R002,2.7243562827461787,PASS
T018,7,5821.4207705357085,6217.4207705357085,relay,R002,2.7243562827461787,PASS
T018,8,6217.4207705357085,6306.742425809146,relay,R002,2.7243562827461787,PASS
T018,9,6306.742425809146,6595.790995633526,relay,R002,2.7587689226635206,PASS
T018,9,6595.790995633526,6596.234653593916,direct,,1.5353254022947702,PASS
T018,9,6596.234653593916,6596.234753593916,direct,,1.554718084109938,PASS
T018,9,6596.234753593916,6604.234653593916,direct,,1.554722459985296,PASS
T018,9,6604.234653593916,6790.813461872736,direct,,1.9118837552050802,PASS
T018,10,6790.813461872736,7007.865530964533,direct,,18.60358375633275,PASS
T019_1,0,5747.225497256939,5813.462460147564,direct,,25.902754877149746,PASS
T019_1,1,5813.462460147564,6166.929980660783,relay,R002,1.5447792394582844,PASS
T019_1,2,6166.929980660783,6219.494336129533,relay,R002,1.5198508951701708,PASS
T019_1,3,6219.494336129533,6429.494336129534,relay,R002,1.5198508951701708,PASS
T019_1,4,6429.494336129534,6473.297965686825,relay,R002,1.5198508951701708,PASS
T019_1,5,6473.297965686825,6595.225497256939,relay,R002,1.5450363200545851,PASS
T019_1,5,6595.225497256939,6595.790995633526,direct,,0.11994252398965877,PASS
T019_1,5,6595.790995633526,6596.234753593916,direct,,0.14112610518251856,PASS
T019_1,5,6596.234753593916,6603.225497256939,direct,,0.15778544448125764,PASS
T019_1,5,6603.225497256939,6826.765486200044,direct,,0.4245227204402475,PASS
T019_1,6,6826.765486200044,6906.249841668794,direct,,25.902754877149746,PASS
T020,0,4282.129251547361,4430.162336671058,direct,,18.396424967151823,PASS
T020,1,4430.162336671058,4720.12915154736,direct,,0.05058776915725183,PASS
T020,1,4720.12915154736,4720.129251547361,direct,,0.05058481752191746,PASS
T020,1,4720.129251547361,4931.754472887333,relay,R002,4.564486589104925,PASS
T020,2,4931.754472887333,4970.6741750357705,relay,R002,4.547353307379366,PASS
T020,3,4970.6741750357705,5180.6741750357705,relay,R002,4.547353307379366,PASS
T020,4,5180.6741750357705,5213.107260159468,relay,R002,4.547353307379366,PASS
T020,5,5213.107260159468,5714.699396375742,relay,R002,4.564399251245414,PASS
T020,6,5714.699396375742,5892.33909852418,direct,,18.39642496715181,PASS
T021,0,5388.582323174855,5468.535279310923,direct,,24.102895398396285,PASS
T021,1,5468.535279310923,5738.850678766331,direct,,8.773665138270266,PASS
T021,1,5738.850678766331,6009.166078221739,relay,R003,2.1702216187923113,PASS
T021,2,6009.166078221739,6047.829625585019,relay,R003,2.1632287616382335,PASS
T021,3,6047.829625585019,6257.82962558502,relay,R003,2.1632287616382335,PASS
T021,4,6257.82962558502,6290.049248387754,relay,R003,2.1632287616382335,PASS
T021,5,6290.049248387754,6595.582323174855,relay,R003,2.169973448972904,PASS
T021,5,6595.582323174855,6595.790995633526,direct,,9.982014438897437,PASS
T021,5,6595.790995633526,6596.234753593916,direct,,9.989697558095084,PASS
T021,5,6596.234753593916,6603.582323174855,direct,,0.006058839444001762,PASS
T021,5,6603.582323174855,6830.680047298569,direct,,0.28152191332602783,PASS
T021,6,6830.680047298569,6926.623594661851,direct,,24.102895398396285,PASS
T022,0,5622.790895633525,5689.002460574931,direct,,27.686789494765073,PASS
