id,group_count,resource_total,shortage_total,workload_cv,stock_sufficient,assignment_replay_passed,need_A_aircraft,shortage_A_aircraft,need_B_aircraft,shortage_B_aircraft,need_C_aircraft,shortage_C_aircraft,need_A_batteries,shortage_A_batteries,need_B_batteries,shortage_B_batteries,need_C_batteries,shortage_C_batteries,need_relay_aircraft,shortage_relay_aircraft,need_relay_components,shortage_relay_components
P16_24_35,3,42,15,0.5527002338882575,False,True,7,3,4,2,5,3,8,2,6,2,6,2,3,1,3,0
P16_25_34,3,39,12,0.5004382594228142,False,True,7,3,3,1,5,3,7,1,5,1,6,2,3,1,3,0
P16_2_345,3,41,14,0.6187890283360471,False,True,7,3,4,2,5,3,7,1,6,2,6,2,3,1,3,0
P1_23456,2,33,6,0.8429792878316363,False,True,5,1,2,0,4,2,7,1,4,0,6,2,2,0,3,0
P1_2345_6,3,35,8,1.2000547236540693,False,True,5,1,2,0,5,3,7,1,4,0,7,3,2,0,3,0
P1_2346_5,3,39,12,0.8496780400575256,False,True,5,1,4,2,4,2,7,1,7,3,6,2,3,1,3,0
P1_234_56,3,41,14,0.8063851622866961,False,True,5,1,4,2,5,3,7,1,7,3,7,3,3,1,3,0
P1_2356_4,3,37,10,1.1418035520108996,False,True,6,2,2,0,5,3,8,2,4,0,7,3,2,0,3,0
P1_235_46,3,36,9,1.0917757009791875,False,True,6,2,2,0,5,3,8,2,4,0,6,2,2,0,3,0
P1_236_45,3,43,16,0.7589297385747409,False,True,6,2,4,2,5,3,8,2,7,3,7,3,3,1,3,0
P1_23_456,3,42,15,0.7199494537552001,False,True,6,2,4,2,5,3,8,2,7,3,6,2,3,1,3,0
P1_2456_3,3,40,13,0.5947142285143697,False,True,7,3,3,1,5,3,8,2,5,1,6,2,3,1,3,0
P1_245_36,3,42,15,0.5732366313375925,False,True,7,3,3,1,6,4,8,2,5,1,7,3,3,1,3,0
P1_246_35,3,42,15,0.5855527817093503,False,True,7,3,4,2,5,3,8,2,6,2,6,2,3,1,3,0
P1_24_356,3,44,17,0.6098207278231731,False,True,7,3,4,2,6,4,8,2,6,2,7,3,3,1,3,0
P1_256_34,3,40,13,0.5548474360485831,False,True,7,3,3,1,5,3,7,1,5,1,7,3,3,1,3,0
P1_25_346,3,40,13,0.5448114434083217,False,True,7,3,3,1,6,4,7,1,5,1,6,2,3,1,3,0
P1_26_345,3,42,15,0.6428608468260617,False,True,7,3,4,2,5,3,7,1,6,2,7,3,3,1,3,0
P1_2_3456,3,42,15,0.6755204941127182,False,True,7,3,4,2,6,4,7,1,6,2,6,2,3,1,3,0
