label,weighted_soft_delay,weighted_delivery_seconds,makespan,energy_kwh,transport_energy_kwh,relay_energy_kwh,transport_sorties,relay_sorties,total_sorties,hard_violations,minimum_hard_margin_seconds,components,q4_two_and_three_available,two_min_resources,two_shortage_at_min_resources,two_cv_at_min_resources,three_min_resources,three_shortage_at_min_resources,validation
results_q3_q4_frontier/fine_expanded/plans/makespan_2030.json,0,2624970.0032893578,6311.184064967842,72.72897025216177,69.30723683159759,3.4217334205641796,23,3,26,0,79.05432016497252,3,True,29,2,0.9579945815521823,35,8,PASS
results_q3_q4_frontier/low_sorties/plans/21_low_sorties.json,0,3050181.2309751664,8413.650383541955,71.43168180817082,67.72751289489406,3.704168913276753,21,5,26,0,126.1391821402267,2,False,33,6,0.8458294827180035,,,PASS
results_q3_q4_frontier/med_fast/plans/makespan_2030.json,0,2664446.9163166224,6456.534653380882,71.96380795438162,68.43268564492855,3.5311223094530684,23,3,26,0,21.054320164972523,3,True,29,2,0.9577250037184335,35,8,PASS
results_q3_q4_frontier/med_fast/plans/timely_2030.json,0,2657438.9163166224,6565.809520857649,71.82478017660385,68.43268564492855,3.392094531675291,23,3,26,0,21.054320164972523,3,True,29,2,0.9573804460921764,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S001-FOD-01_T001_T003.json,0,2640742.0032893578,6390.534653380882,72.7821156734838,69.29132669736407,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S001-FOD-02_T001_T003.json,0,2640742.0032893578,6390.534653380882,72.7821156734838,69.29132669736407,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S001-FOD-03_T001_T003.json,0,2640742.0032893578,6390.534653380882,72.7821156734838,69.29132669736407,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S001-HYG-01_T001_T003.json,0,2640742.0032893578,6390.534653380882,72.77422579896586,69.28343682284613,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S004-MED-01_T014_T019.json,0,2657438.9163166224,6565.809520857649,71.82478017660385,68.43268564492855,3.392094531675291,23,3,26,0,21.054320164972523,3,True,29,2,0.9573804460921764,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S007-MED-01_T002_T010.json,0,2892725.5626575965,7536.534653380882,71.8043831984688,67.97100210560633,3.8333810928624614,23,5,28,0,118.05432016497252,3,True,28,1,0.9587144809771425,32,5,PASS
results_q3_q4_frontier/moves/plans/move_S009-MED-01_T004_T022.json,0,2687347.952567522,7033.297538856334,72.71470023189335,68.99749458910695,3.717205642786402,23,3,26,0,21.054320164972523,3,True,29,2,0.9584100536572925,35,8,PASS
results_q3_q4_frontier/moves/plans/move_S015-MED-01_T007_T020.json,0,2655522.854715196,7033.297538856334,72.44330302455606,68.73801404843633,3.705288976119735,23,3,26,0,21.054320164972523,3,True,29,2,0.9583195372514267,35,8,PASS
results_q3_q4_frontier/moves_second/plans/move_S001-MED-01_T005_T003.json,0,2648590.946891815,6390.534653380882,72.84197086234938,69.35118188622965,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581659304859649,35,8,PASS
results_q3_q4_frontier/moves_second/plans/move_S001-WAT-06_T001_T003.json,0,2640742.0032893578,6390.534653380882,72.8551190905575,69.36433011443776,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
results_q3_q4_frontier/moves_second/plans/move_S001-WAT-07_T001_T003.json,0,2650714.0032893578,6390.534653380882,72.81417464611306,69.36433011443776,3.449844531675291,23,3,26,0,21.054320164972523,3,True,29,2,0.9580626979420905,35,8,PASS
results_q3_q4_frontier/moves_second/plans/move_S005-MED-01_T014_T016.json,0,2714136.9968855088,6662.630285736439,72.39130215458675,69.04595762291146,3.345344531675291,23,3,26,0,21.054320164972523,3,True,29,2,0.957675714278962,35,8,PASS
results_q3_q4_frontier/polished/plans/polished_energy.json,0,3341885.780312233,11233.57299249031,71.00789913182099,67.33833777429322,3.6695613575277717,23,5,28,0,0.054320164972523344,3,True,26,2,0.9582430379007209,31,6,PASS
results_q3_q4_frontier/polished/plans/polished_fastest.json,0,2693930.5076264874,6275.184064967842,72.15271338592915,69.15451555444506,2.998197831484096,24,4,28,0,255.1391821402267,3,True,29,2,0.9576438303811194,35,8,PASS
results_q3_q4_frontier/polished/plans/polished_primary.json,0,2623200.0032893578,6307.7581046684645,72.71919247438399,69.30723683159759,3.411955642786402,23,3,26,0,94.05432016497252,3,True,29,2,0.9579708369975914,35,8,PASS
results_q3_q4_frontier/schedule/plans/energy_2030.json,0,3341885.780312233,11233.57299249031,71.0085102429321,67.33833777429322,3.670172468638883,23,5,28,0,0.054320164972523344,3,True,26,2,0.9582445035516072,31,6,PASS
results_q3_q4_frontier/schedule/plans/makespan_2030.json,0,2634274.0032893578,6390.534653380882,72.79802580771732,69.30723683159759,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
results_q3_q4_frontier/schedule/plans/timely_2030.json,0,2634274.0032893578,6390.534653380882,72.79802580771732,69.30723683159759,3.4907889761197355,23,3,26,0,21.054320164972523,3,True,29,2,0.9581615166591445,35,8,PASS
