partition,group,resource_type,resource_id,task,start,release,next_task,handoff_slack_seconds,physical_id,inventory_status
P15_2346,G2,C_aircraft,G2-C_aircraft-01,T012,1954.1116402878895,4069.193281566342,T018,5.000100000000202,NEW-C_aircraft-01,procurement_required
P15_2346,G2,C_aircraft,G2-C_aircraft-01,T018,4074.1933815663424,6761.824258936959,,,NEW-C_aircraft-01,procurement_required
P15_2346,G2,C_aircraft,G2-C_aircraft-02,T014_2,3155.0929537629518,5460.277018730793,,,NEW-C_aircraft-02,procurement_required
P15_2346,G2,A_batteries,G2-A_batteries-01,T007_HARD,0.0,2761.062337358848,T022,1529.5093617654338,A02,existing
P15_2346,G2,A_batteries,G2-A_batteries-01,T022,4290.571699124282,7157.600692042686,,,A02,existing
P15_2346,G2,A_batteries,G2-A_batteries-02,T007_SOFT,0.0,2779.9496716386757,T016,2689.8827329990536,A03,existing
P15_2346,G2,A_batteries,G2-A_batteries-02,T016,5469.832404637729,8301.566821462397,,,A03,existing
P15_2346,G2,A_batteries,G2-A_batteries-03,T009,0.0,2207.8690163260853,T014_1,1561.2051836431797,A04,existing
P15_2346,G2,A_batteries,G2-A_batteries-03,T014_1,3769.074199969265,6580.0266291174285,,,A04,existing
P15_2346,G2,A_batteries,G2-A_batteries-04,T004,2004.1116402878897,5653.515220902664,,,A05,existing
P15_2346,G2,A_batteries,G2-A_batteries-05,T007,3667.074199969267,7728.37856016178,,,A06,existing
P15_2346,G2,A_batteries,G2-A_batteries-06,T020,3687.0741999692646,6897.284697633159,,,NEW-A_batteries-01,procurement_required
P15_2346,G2,B_batteries,G2-B_batteries-01,T013,3355.5084827157466,7272.795381688331,,,NEW-B_batteries-01,procurement_required
P15_2346,G2,B_batteries,G2-B_batteries-02,T006,3508.596003149672,5831.667165848992,,,NEW-B_batteries-02,procurement_required
P15_2346,G2,B_batteries,G2-B_batteries-03,T021,5313.549854202742,9078.773277607346,,,NEW-B_batteries-03,procurement_required
P15_2346,G2,B_batteries,G2-B_batteries-04,T019_1,5372.702880894794,8356.40930924514,,,NEW-B_batteries-04,procurement_required
P15_2346,G2,C_batteries,G2-C_batteries-01,T010_2,0.0,2880.8082760764496,T018,1193.3851054898928,C03,existing
P15_2346,G2,C_batteries,G2-C_batteries-01,T018,4074.1933815663424,9324.985226007513,,,C03,existing
P15_2346,G2,C_batteries,G2-C_batteries-02,T012,1954.1116402878895,6561.858999018011,,,C04,existing
P15_2346,G2,C_batteries,G2-C_batteries-03,T014_2,3155.0929537629518,7966.52367812528,,,NEW-C_batteries-01,procurement_required
P15_2346,G2,relay_aircraft,G2-relay_aircraft-01,R001,190.137319029409,1999.297638856333,R002,1907.9138801423414,R02,existing
P15_2346,G2,relay_aircraft,G2-relay_aircraft-01,R002,3907.2115189986744,7516.130043494062,,,R02,existing
P15_2346,G2,relay_aircraft,G2-relay_aircraft-02,R003,2004.2977389089663,7744.455885352581,,,NEW-relay_aircraft-01,procurement_required
P15_2346,G2,relay_components,G2-relay_components-01,R001,190.137319029409,2344.3073253046314,R002,1562.904193694043,RE02,existing
P15_2346,G2,relay_components,G2-relay_components-01,R002,3907.2115189986744,8084.5472154177,,,RE02,existing
P15_2346,G2,relay_components,G2-relay_components-02,R003,2004.2977389089663,8588.743789022035,,,RE03,existing
P16_2345,G1,A_aircraft,G1-A_aircraft-01,T005,0.0,1312.470877312685,,,U01,existing
P16_2345,G1,B_aircraft,G1-B_aircraft-01,T006,3508.596003149672,4698.226288886111,,,U05,existing
P16_2345,G1,C_aircraft,G1-C_aircraft-01,T001,0.0,1561.4261775174655,,,U07,existing
P16_2345,G1,C_aircraft,G1-C_aircraft-02,T003,1438.035182877992,2867.4613603954576,,,U08,existing
P16_2345,G1,A_batteries,G1-A_batteries-01,T005,0.0,2178.7887122874713,,,A01,existing
P16_2345,G1,B_batteries,G1-B_batteries-01,T006,3508.596003149672,5831.667165848992,,,B01,existing
P16_2345,G1,C_batteries,G1-C_batteries-01,T001,0.0,3150.0928537629516,,,C01,existing
