box,zone,time,baseline_time,hard_deadline,desired,priority
S010-FOD-01,S010,2590.7918387906866,2590.7918387906866,,7200,10
S010-MED-01,S010,2590.7918387906866,2590.7918387906866,3600,3600,24
S010-WAT-01,S010,2590.7918387906866,2590.7918387906866,3600,3600,12
S011-FOD-01,S011,6237.296331063594,6170.497976474359,,14400,6
S011-MED-01,S011,6237.296331063594,6170.497976474359,10800,10800,16
S011-WAT-01,S011,6237.296331063594,6170.497976474359,10800,10800,8
S012-FOD-01,S012,1281.9422220109946,1281.9422220109946,,7200,10
S012-MED-01,S012,1281.9422220109946,1281.9422220109946,3600,7200,22
S012-WAT-01,S012,1281.9422220109946,1281.9422220109946,3600,3600,12
S013-FOD-01,S013,1058.018029613423,1058.018029613423,,7200,10
S013-MED-01,S013,1058.018029613423,1058.018029613423,3600,3600,24
S013-WAT-01,S013,1058.018029613423,1058.018029613423,3600,3600,12
S014-FOD-01,S014,3178.8506557664396,3178.8506557664396,,7200,10
S014-MED-01,S014,3178.8506557664396,3178.8506557664396,3600,7200,22
S014-WAT-01,S014,3178.8506557664396,3178.8506557664396,3600,3600,12
S015-FOD-01,S015,5180.6741750357705,5180.6741750357705,,14400,6
S015-MED-01,S015,5798.505225167874,5798.5052251678735,7200,7200,18
S015-WAT-01,S015,5180.6741750357705,5180.6741750357705,10800,10800,8
