partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P134_25_6,G1,S001|S003|S005|S006|S007|S015,43,423.0,13,2,26758.451687568177,33.55267810305554,4,0.3759559660630848,1,0.16289831110765185,2,0.38131525911105774,4,0.6120314992822907,1,0.319969024727845,3,0.5091971310542397,1,0.5045341732216606,1,0.5929936061577477
P134_25_6,G2,S002|S004|S008|S009|S010|S012|S013|S014,34,310.0,10,2,26774.270599128453,34.10798412448745,2,0.2558587891988091,2,0.689086489524206,2,0.2846628272886369,2,0.4196548903375729,4,0.6726798814304286,2,0.6065902011454468,2,0.5332807747858511,2,0.6159565642267127
P134_25_6,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P134_26_5,G1,S001|S003|S005|S006|S007|S015,43,423.0,13,2,26758.451687568177,33.55267810305554,4,0.3759559660630848,1,0.16289831110765185,2,0.38131525911105774,4,0.6120314992822907,1,0.319969024727845,3,0.5091971310542397,1,0.5045341732216606,1,0.5929936061577477
P134_26_5,G2,S002|S004|S008|S009|S011,25,235.0,7,1,17468.533279216375,26.432999103732758,2,0.33456011906896166,2,0.32471513679467473,2,0.47996489374902745,2,0.5487393672066355,2,0.6469330888164125,3,0.6763708488439376,1,0.7140447051546921,1,0.8248695704418446
P134_26_5,G3,S010|S012|S013|S014,12,100.0,4,1,10585.188190772213,9.580864068411065,0,0.0,2,0.6358061564416764,0,0.0,0,0.0,4,0.6135165234362474,0,0.0,1,0.7508203032460034,1,0.8670840713570843
P134_2_56,G1,S001|S003|S005|S006|S007|S015,43,423.0,13,2,26758.451687568177,33.55267810305554,4,0.3759559660630848,1,0.16289831110765185,2,0.38131525911105774,4,0.6120314992822907,1,0.319969024727845,3,0.5091971310542397,1,0.5045341732216606,1,0.5929936061577477
P134_2_56,G2,S002|S004|S008|S009,22,210.0,6,1,16189.08240835624,24.527120056076388,2,0.3419143868377484,2,0.33185299312737765,2,0.38040638100677443,2,0.5608017022301365,2,0.6611539086107272,2,0.8106108738178819,1,0.7297407659260883,1,0.8430017725472096
P134_2_56,G3,S010|S011|S012|S013|S014,15,125.0,5,1,11864.63906163235,11.486743116067435,0,0.0,2,0.4336239427421181,1,0.16212510043878334,0,0.0,4,0.41842226775334246,1,0.3331275768570166,1,0.5120643405003426,1,0.5913569881345385
P1356_24,G1,S001|S003|S005|S007|S010|S011|S012|S013|S014|S015,52,489.0,16,3,35874.04145190555,41.40264801206289,4,0.3406740277401683,2,0.44842582736751135,2,0.37308016767142876,4,0.5531912899894517,4,0.4341037248934003,2,0.7494623728499751,2,0.46894754277171324,2,0.5467300097452771
P1356_24,G2,S002|S004|S006|S008|S009,28,269.0,8,1,18938.13170565122,28.16389326313648,2,0.3406094245505702,2,0.24832972311827134,2,0.3769495460981884,3,0.37399651720652405,2,0.49474969478682596,3,0.5287392458754523,1,0.546074093359113,1,0.6308287136181021
P1356_2_4,G1,S001|S003|S005|S007|S010|S011|S012|S013|S014|S015,52,489.0,16,3,35874.04145190555,41.40264801206289,4,0.3406740277401683,2,0.44842582736751135,2,0.37308016767142876,4,0.5531912899894517,4,0.4341037248934003,2,0.7494623728499751,2,0.46894754277171324,2,0.5467300097452771
P1356_2_4,G2,S002|S004|S008|S009,22,210.0,6,1,16189.08240835624,24.527120056076388,2,0.3419143868377484,2,0.33185299312737765,2,0.38040638100677443,2,0.5608017022301365,2,0.6611539086107272,2,0.8106108738178819,1,0.7297407659260883,1,0.8430017725472096
P1356_2_4,G3,S006,6,59.0,2,0,2749.0492972949805,3.6367732070600898,1,0.30388010479386957,0,0.0,1,0.33090132795501387,1,0.5067853359515514,0,0.0,1,0.6687774320703714,0,0.0,0,0.0
P135_246,G1,S001|S003|S005|S007|S010|S012|S013|S014|S015,49,464.0,15,3,34594.590581045406,39.49676896440652,4,0.3406740277401683,2,0.44842582736751135,2,0.3044767951267221,4,0.5531912899894517,4,0.4341037248934003,2,0.6084991586518957,2,0.46894754277171324,2,0.5467300097452771
P135_246,G2,S002|S004|S006|S008|S009|S011,31,294.0,9,1,20217.58257651136,30.06977231079285,2,0.33509729825160445,2,0.24431097114327457,2,0.451911873139162,3,0.367944083275972,2,0.4867430965911414,3,0.6312251160045781,1,0.5372369057940293,1,0.620619931089359
P135_24_6,G1,S001|S003|S005|S007|S010|S012|S013|S014|S015,49,464.0,15,3,34594.590581045406,39.49676896440652,4,0.3406740277401683,2,0.44842582736751135,2,0.3044767951267221,4,0.5531912899894517,4,0.4341037248934003,2,0.6084991586518957,2,0.46894754277171324,2,0.5467300097452771
P135_24_6,G2,S002|S004|S006|S008|S009,28,269.0,8,1,18938.13170565122,28.16389326313648,2,0.3406094245505702,2,0.24832972311827134,2,0.3769495460981884,3,0.37399651720652405,2,0.49474969478682596,3,0.5287392458754523,1,0.546074093359113,1,0.6308287136181021
P135_24_6,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P135_26_4,G1,S001|S003|S005|S007|S010|S012|S013|S014|S015,49,464.0,15,3,34594.590581045406,39.49676896440652,4,0.3406740277401683,2,0.44842582736751135,2,0.3044767951267221,4,0.5531912899894517,4,0.4341037248934003,2,0.6084991586518957,2,0.46894754277171324,2,0.5467300097452771
P135_26_4,G2,S002|S004|S008|S009|S011,25,235.0,7,1,17468.533279216375,26.432999103732758,2,0.33456011906896166,2,0.32471513679467473,2,0.47996489374902745,2,0.5487393672066355,2,0.6469330888164125,3,0.6763708488439376,1,0.7140447051546921,1,0.8248695704418446
