sortie,phase_index,start,end,mode,relay_sortie,margin_lower_db,status
T012,5,3481.7496923724284,3729.591967316065,relay,R003,6.076162459559777,PASS
T012,5,3729.591967316065,3853.513104787883,relay,R003,1.6482283617877638,PASS
T012,5,3853.513104787883,3977.434242259702,direct,,5.527276229327612,PASS
T012,6,3977.434242259702,4069.193281566342,direct,,26.67445965789763,PASS
T013,0,3745.5084827157466,3825.4614388518144,direct,,24.102895398396285,PASS
T013,1,3825.4614388518144,4095.776838307222,direct,,8.773665138270266,PASS
T013,1,4095.776838307222,4366.092237762629,relay,R003,2.1702216187923113,PASS
T013,2,4366.092237762629,4404.755785125911,relay,R003,2.1632287616382335,PASS
T013,3,4404.755785125911,4485.074099969266,relay,R003,2.1632287616382335,PASS
T013,3,4485.074099969266,4485.508482715746,relay,R003,2.1632287616382335,PASS
T013,3,4485.508482715746,4644.755785125911,relay,R003,2.1632287616382335,PASS
T013,4,4644.755785125911,4676.975407928645,relay,R003,2.1632287616382335,PASS
T013,5,4676.975407928645,4947.290807384052,relay,R003,2.1702216187923113,PASS
T013,5,4947.290807384052,5217.60620683946,direct,,8.773665138270266,PASS
T013,6,5217.60620683946,5313.5497542027415,direct,,24.1028953983963,PASS
T014_1,0,4129.0741999692655,4195.31116285989,direct,,25.90275487714976,PASS
T014_1,1,4195.31116285989,4485.074099969266,direct,,0.1098329819987729,PASS
T014_1,1,4485.074099969266,4485.0741999692655,direct,,0.10982999231196722,PASS
T014_1,1,4485.0741999692655,4637.145563501414,relay,R002,1.5450363200545851,PASS
T014_1,2,4637.145563501414,4689.709918970164,relay,R002,1.5198508951701708,PASS
T014_1,3,4689.709918970164,4899.709918970164,relay,R002,1.5198508951701708,PASS
T014_1,4,4899.709918970164,4943.513548527456,relay,R002,1.5198508951701708,PASS
T014_1,5,4943.513548527456,5385.3479491689795,relay,R002,1.5447792394582844,PASS
T014_1,6,5385.3479491689795,5464.83230463773,direct,,25.902754877149746,PASS
T014_2,0,3635.0929537629518,3743.3086202668583,direct,,22.968262608738186,PASS
T014_2,1,3743.3086202668583,4001.497011691924,direct,,9.167057647646672,PASS
T014_2,1,4001.497011691924,4259.68540311699,relay,R003,5.824767232492015,PASS
T014_2,2,4259.68540311699,4344.654986246873,relay,R003,8.427562711646836,PASS
T014_2,3,4344.654986246873,4485.074099969266,relay,R003,8.427562711646836,PASS
T014_2,3,4485.074099969266,4485.092953762952,relay,R003,8.427562711646836,PASS
T014_2,3,4485.092953762952,4740.654986246873,relay,R003,8.427562711646836,PASS
T014_2,4,4740.654986246873,4808.630652750779,relay,R003,8.427562711646836,PASS
T014_2,5,4808.630652750779,5066.819044175844,relay,R003,5.824767232492015,PASS
T014_2,5,5066.819044175844,5325.00743560091,direct,,9.167057647646672,PASS
T014_2,6,5325.00743560091,5460.277018730792,direct,,22.968262608738186,PASS
T015,0,390.0,492.6455118815104,direct,,21.759839664518097,PASS
T015,1,492.6455118815104,709.9998999999997,direct,,0.646514164688071,PASS
T015,1,709.9998999999997,710.0,direct,,0.6465101994287235,PASS
T015,1,710.0,767.9999000000003,relay,R004,1.7972288143946535,PASS
T015,1,767.9999000000003,768.0,relay,R004,2.390156974199842,PASS
T015,1,768.0,811.207731972695,relay,R004,0.8145661856189221,PASS
T015,2,811.207731972695,844.8223462305075,relay,R004,0.739884337460925,PASS
T015,3,844.8223462305075,1084.8223462305075,relay,R004,0.739884337460925,PASS
T015,4,1084.8223462305075,1112.8345247786847,relay,R004,0.739884337460925,PASS
T015,5,1112.8345247786847,1280.0,relay,R004,2.710217075986666,PASS
T015,5,1280.0,1280.0000999999993,direct,,3.7520343485164602,PASS
T015,5,1280.0000999999993,1431.3967448698693,direct,,3.75203999492577,PASS
T015,6,1431.3967448698693,1554.5713591276817,direct,,21.759839664518097,PASS
T016,0,5829.832404637729,5896.069367528355,direct,,25.902754877149746,PASS
T016,1,5896.069367528355,6337.903768169878,relay,R002,1.5447792394582844,PASS
T016,2,6337.903768169878,6390.468123638628,relay,R002,1.5198508951701708,PASS
T016,3,6390.468123638628,6600.468123638628,relay,R002,1.5198508951701708,PASS
T016,4,6600.468123638628,6644.27175319592,relay,R002,1.5198508951701708,PASS
T016,5,6644.27175319592,6796.832404637729,relay,R002,1.5450363200545851,PASS
T016,5,6796.832404637729,6796.8325046377295,direct,,0.12447046558199304,PASS
T016,5,6796.8325046377295,6888.549954202742,direct,,0.12447346029894923,PASS
T016,5,6888.549954202742,6893.832404637729,direct,,3.4237232927517063,PASS
T016,5,6893.832404637729,7086.106153837443,direct,,3.6577699260979486,PASS
T016,6,7086.106153837443,7165.590509306194,direct,,25.902754877149746,PASS
T018,0,4584.193381566342,4733.845571507749,direct,,19.962509130395112,PASS
T018,1,4733.845571507749,5036.100347214839,relay,R002,4.684936344501038,PASS
T018,2,5036.100347214839,5112.765584641596,relay,R002,1.916287346872787,PASS
T018,3,5112.765584641596,5328.765584641596,relay,R002,1.916287346872787,PASS
T018,4,5328.765584641596,5355.177120286127,relay,R002,1.9162873468727888,PASS
T018,5,5355.177120286127,5537.365078952471,relay,R002,2.7389681854779315,PASS
T018,6,5537.365078952471,5575.379498508135,relay,R002,2.7243562827461787,PASS
T018,7,5575.379498508135,5971.379498508135,relay,R002,2.7243562827461787,PASS
T018,8,5971.379498508135,6060.701153781572,relay,R002,2.7243562827461787,PASS
T018,9,6060.701153781572,6544.772189845162,relay,R002,2.7581660646969492,PASS
T018,10,6544.772189845162,6761.824258936959,direct,,18.603583756332732,PASS
T019_1,0,5732.702880894794,5798.93984378542,direct,,25.902754877149746,PASS
T019_1,1,5798.93984378542,6152.407364298639,relay,R002,1.5447792394582844,PASS
T019_1,2,6152.407364298639,6204.971719767388,relay,R002,1.5198508951701708,PASS
T019_1,3,6204.971719767388,6414.971719767389,relay,R002,1.5198508951701708,PASS
T019_1,4,6414.971719767389,6458.77534932468,relay,R002,1.5198508951701708,PASS
T019_1,5,6458.77534932468,6796.702880894794,relay,R002,1.5448210187956537,PASS
T019_1,5,6796.702880894794,6796.8325046377295,direct,,21.58701806133884,PASS
T019_1,5,6796.8325046377295,6812.242869837899,direct,,21.632697804849386,PASS
T019_1,6,6812.242869837899,6888.549954202742,direct,,25.902754877149746,PASS
T019_1,6,6888.549954202742,6891.727225306649,direct,,44.92517525248826,PASS
