sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T013,descent,2,3267.5837550468827,3306.2473024101637,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T013,handoff,3,3306.247302410164,3546.247302410164,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T013,climb,4,3546.247302410164,3578.466925212899,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T013,cruise,5,3578.466925212899,4119.097724123713,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T013,descent,6,4119.097724123713,4215.041271486994,direct,,25.102895398396285,obstruction_upper_bound,PASS
T014,climb,0,3941.0,4007.236962890625,direct,,26.90275487714976,obstruction_upper_bound,PASS
T014,cruise,1,4007.236962890625,4449.071363532149,relay,R001,2.5447792394582844,independent_swept_cells,PASS
T014,descent,2,4449.071363532149,4501.6357190008985,relay,R001,2.519850895170171,independent_swept_cells,PASS
T014,handoff,3,4501.6357190008985,4711.6357190008985,relay,R001,2.519850895170171,independent_swept_cells,PASS
T014,climb,4,4711.6357190008985,4768.571245530847,relay,R001,2.519850895170171,independent_swept_cells,PASS
T014,cruise,5,4768.571245530847,4986.613749284754,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T014,descent,6,4986.613749284754,5041.616381120692,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T014,handoff,7,5041.616381120692,5221.616381120692,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T014,climb,8,5221.616381120692,5278.262769873947,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T014,cruise,9,5278.262769873947,5780.0,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T014,cruise,9,5780.0,5883.0,direct,,7.12027429734372,obstruction_upper_bound,PASS
T014,cruise,9,5883.0,5923.733748436611,direct,,17.15000287336047,obstruction_upper_bound,PASS
T014,descent,10,5923.733748436611,6031.949414940516,direct,,23.968262608738186,obstruction_upper_bound,PASS
T015,climb,0,413.0,515.6455118815104,direct,,22.759839664518097,obstruction_upper_bound,PASS
T015,cruise,1,515.6455118815104,776.0,direct,,0.08877784693233792,obstruction_upper_bound,PASS
T015,cruise,1,776.0,834.207731972695,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T015,descent,2,834.207731972695,867.8223462305075,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T015,handoff,3,867.8223462305075,959.0,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T015,handoff,3,959.0,1107.8223462305075,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T015,climb,4,1107.8223462305075,1135.8345247786847,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T015,cruise,5,1135.8345247786847,1454.3967448698693,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T015,descent,6,1454.3967448698693,1564.0,direct,,22.759839664518097,obstruction_upper_bound,PASS
T015,descent,6,1564.0,1577.5713591276817,direct,,45.92517525248826,obstruction_upper_bound,PASS
T016,climb,0,2790.0,2856.236962890625,direct,,26.90275487714976,obstruction_upper_bound,PASS
T016,cruise,1,2856.236962890625,3037.0,direct,,5.190575105911947,obstruction_upper_bound,PASS
T016,cruise,1,3037.0,3298.071363532149,relay,R001,2.545036320054585,independent_swept_cells,PASS
T016,descent,2,3298.071363532149,3350.635719000899,relay,R001,2.519850895170171,independent_swept_cells,PASS
T016,handoff,3,3350.635719000899,3560.635719000899,relay,R001,2.519850895170171,independent_swept_cells,PASS
T016,climb,4,3560.635719000899,3604.4393485581904,relay,R001,2.519850895170171,independent_swept_cells,PASS
T016,cruise,5,3604.4393485581904,4046.2737491997145,relay,R001,2.5447792394582844,independent_swept_cells,PASS
T016,descent,6,4046.2737491997145,4125.7581046684645,direct,,26.902754877149746,obstruction_upper_bound,PASS
T017,climb,0,360.0,448.3506103515625,direct,,24.16061612661366,obstruction_upper_bound,PASS
T017,cruise,1,448.3506103515625,776.0,direct,,0.03659541874591454,obstruction_upper_bound,PASS
T017,cruise,1,776.0,852.4089689015445,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T017,descent,2,852.4089689015445,868.8297013234195,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T017,handoff,3,868.8297013234195,959.0,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T017,handoff,3,959.0,1048.8297013234196,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T017,climb,4,1048.8297013234196,1077.1051570525863,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T017,cruise,5,1077.1051570525863,1315.7669834571802,relay,R003,0.6385052986696653,independent_swept_cells,PASS
T017,descent,6,1315.7669834571802,1378.4575303321803,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T017,handoff,7,1378.45753033218,1558.45753033218,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T017,climb,8,1558.45753033218,1564.0,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T017,climb,8,1564.0,1607.554317848456,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T017,cruise,9,1607.554317848456,2224.09092969244,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T017,descent,10,2224.09092969244,2343.8470747119713,direct,,23.02154674108874,obstruction_upper_bound,PASS
T018,climb,0,4087.0,4260.641655273437,direct,,19.603583756332743,obstruction_upper_bound,PASS
