partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P14_2_35,G3,S003|S005|S007|S011|S015,25,235.0,10,2,25093.123807659533,29.32193807751598,3,0.37378206792512914,0,0.0,2,0.2408364921628333,4,0.45751464758276283,0,0.0,2,0.4838285417675113,1,0.6314698594896296,1,0.7308035288872365
P15_234,G1,S001|S011,18,179.0,4,0,5582.774103207753,8.491491723407387,1,0.1610801590297535,0,0.0,1,0.5240962939618583,1,0.2674037484062853,0,0.0,2,0.5355134678974578,0,0.0,0,0.0
P15_234,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,23,4,58694.9426981918,69.88191094425055,4,0.3947533105658351,2,0.6322200252001584,2,0.4368566675597415,5,0.5152901383444176,4,0.611686840099636,3,0.5999077554015716,2,0.7458993964840926,3,0.5733934421675592
P15_23_4,G1,S001|S011,18,179.0,4,0,5582.774103207753,8.491491723407387,1,0.1610801590297535,0,0.0,1,0.5240962939618583,1,0.2674037484062853,0,0.0,2,0.5355134678974578,0,0.0,0,0.0
P15_23_4,G2,S002|S003|S004|S005|S007|S008|S009|S010|S012|S013|S014|S015,56,520.0,21,4,55945.89340089682,66.25678945506321,4,0.36614040842709467,2,0.6322200252001584,1,0.7490846126069841,4,0.5961089816274746,4,0.611686840099636,3,0.5163946905923481,2,0.7458993964840926,3,0.5733934421675592
P15_23_4,G3,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.3880260157754234,0,0.0,1,0.42252954989691377,1,0.6509888786714572,0,0.0,1,0.849404622938684,0,0.0,0,0.0
P15_24_3,G1,S001|S011,18,179.0,4,0,5582.774103207753,8.491491723407387,1,0.1610801590297535,0,0.0,1,0.5240962939618583,1,0.2674037484062853,0,0.0,2,0.5355134678974578,0,0.0,0,0.0
P15_24_3,G2,S002|S004|S006|S008|S009|S010|S012|S013|S014,40,369.0,14,2,34881.2697613924,42.46585191439094,2,0.28672408468004457,2,0.7921597703028884,2,0.31532028852173183,3,0.3117384096391772,4,0.7664320765499629,3,0.44301342073307143,2,0.5389879655532389,2,0.6198352357582508
P15_24_3,G3,S003|S005|S007|S015,22,210.0,9,2,23813.672936799398,27.41605902985961,3,0.37378206792512914,0,0.0,1,0.3704012300901988,4,0.45751464758276283,0,0.0,1,0.7390207418410526,1,0.6314698594896296,1,0.7308035288872365
P15_2_34,G1,S001|S011,18,179.0,4,0,5582.774103207753,8.491491723407387,1,0.1610801590297535,0,0.0,1,0.5240962939618583,1,0.2674037484062853,0,0.0,2,0.5355134678974578,0,0.0,0,0.0
P15_2_34,G2,S002|S004|S008|S009|S010|S012|S013|S014,34,310.0,12,2,32132.220464097423,38.84073042520361,1,0.43004246196416984,2,0.7921597703028884,1,0.4744831377605378,2,0.34731217438859835,4,0.7664320765499629,2,0.5075596879003741,2,0.5389879655532389,2,0.6198352357582508
P15_2_34,G3,S003|S005|S006|S007|S015,28,269.0,11,2,26562.722234094377,31.041180519046943,3,0.41193260411011634,0,0.0,1,0.4950299526026978,4,0.5055183388858101,0,0.0,2,0.4947799681343616,1,0.6314698594896296,1,0.7308035288872365
P1_2345,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_2345,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S011|S012|S013|S014|S015,65,604.0,24,4,59974.393569051936,71.78778999190692,4,0.3947533105658351,2,0.6322200252001584,2,0.4924925446774754,5,0.5152901383444176,4,0.611686840099636,4,0.5070899019746712,2,0.7458993964840926,3,0.5733934421675592
P1_234_5,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_234_5,G2,S002|S003|S004|S005|S006|S007|S008|S009|S010|S012|S013|S014|S015,62,579.0,23,4,58694.9426981918,69.88191094425055,4,0.3947533105658351,2,0.6322200252001584,2,0.4368566675597415,5,0.5152901383444176,4,0.611686840099636,3,0.5999077554015716,2,0.7458993964840926,3,0.5733934421675592
P1_234_5,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P1_235_4,G1,S001,15,154.0,3,0,4303.323232347616,6.585612675751017,1,0.1610801590297535,0,0.0,1,0.3670686956269603,1,0.2674037484062853,0,0.0,2,0.3741867418340459,0,0.0,0,0.0
P1_235_4,G2,S002|S003|S004|S005|S007|S008|S009|S010|S011|S012|S013|S014|S015,59,545.0,22,4,57225.344271756956,68.16266850271958,4,0.36614040842709467,2,0.6322200252001584,2,0.43017818342122593,4,0.5961089816274746,4,0.611686840099636,3,0.592606804490338,2,0.7458993964840926,3,0.5733934421675592
P1_235_4,G3,S006,6,59.0,2,0,2749.0492972949805,3.625121489187333,1,0.3880260157754234,0,0.0,1,0.42252954989691377,1,0.6509888786714572,0,0.0,1,0.849404622938684,0,0.0,0,0.0
