sortie,phase,phase_index,start,end,mode,relay_sortie,margin_lower_db,proof,status
T005,cruise,5,999.0443086921498,1254.3282332697163,direct,,2.2142767659980365,obstruction_upper_bound,PASS
T005,descent,6,1254.3282332697163,1312.470877312685,direct,,29.982830377148545,obstruction_upper_bound,PASS
T006,climb,0,3401.0,3456.8872517903646,direct,,28.560414627442945,obstruction_upper_bound,PASS
T006,cruise,1,3456.8872517903646,3644.697107386449,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,descent,2,3644.697107386449,3678.001809534886,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,handoff,3,3678.001809534886,3918.001809534886,direct,,2.9472034845106343,obstruction_upper_bound,PASS
T006,climb,4,3918.001809534886,3945.7557279919174,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,cruise,5,3945.7557279919174,4133.565583588002,direct,,2.9375573644603516,obstruction_upper_bound,PASS
T006,descent,6,4133.565583588002,4200.630285736439,direct,,28.56041462744298,obstruction_upper_bound,PASS
T007,climb,0,2672.0,2816.701379394531,direct,,19.60358375633274,obstruction_upper_bound,PASS
T007,cruise,1,2816.701379394531,3051.0,direct,,2.872787544864252,obstruction_upper_bound,PASS
T007,cruise,1,3051.0,3421.7901744740184,relay,R001,3.7587454737388803,independent_swept_cells,PASS
T007,descent,2,3421.7901744740184,3511.111829747456,relay,R001,3.7243562827461787,independent_swept_cells,PASS
T007,handoff,3,3511.111829747456,3721.111829747456,relay,R001,3.7243562827461787,independent_swept_cells,PASS
T007,climb,4,3721.111829747456,3772.839612950581,relay,R001,3.7243562827461787,independent_swept_cells,PASS
T007,cruise,5,3772.839612950581,3990.702633776762,relay,R001,3.751013713102269,independent_swept_cells,PASS
T007,descent,6,3990.702633776762,3998.375973620512,relay,R001,5.547353307379366,independent_swept_cells,PASS
T007,handoff,7,3998.375973620512,4178.375973620512,relay,R001,5.547353307379366,independent_swept_cells,PASS
T007,climb,8,4178.375973620512,4210.80905874421,relay,R001,5.547353307379366,independent_swept_cells,PASS
T007,cruise,9,4210.80905874421,4712.401194960485,relay,R001,5.564399251245414,independent_swept_cells,PASS
T007,descent,10,4712.401194960485,4890.040897108922,direct,,19.39642496715183,obstruction_upper_bound,PASS
T008,climb,0,390.0,539.2812744140625,direct,,19.320069836068832,obstruction_upper_bound,PASS
T008,cruise,1,539.2812744140625,731.0,direct,,2.675574616531801,obstruction_upper_bound,PASS
T008,cruise,1,731.0,802.0,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T008,cruise,1,802.0,900.0085824475755,relay,R003,0.703975495324972,obstruction_upper_bound,PASS
T008,descent,2,900.0085824475755,989.8261117444505,relay,R003,0.7188306771577473,obstruction_upper_bound,PASS
T008,handoff,3,989.8261117444505,1229.8261117444504,relay,R003,0.7188306771577473,obstruction_upper_bound,PASS
T008,climb,4,1229.8261117444504,1304.6740528251796,relay,R003,0.7188306771577473,obstruction_upper_bound,PASS
T008,cruise,5,1304.6740528251796,1608.0,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T008,cruise,5,1608.0,1665.4013608586924,direct,,12.287203077127874,obstruction_upper_bound,PASS
T008,descent,6,1665.4013608586924,1844.5388901555675,direct,,19.320069836068832,obstruction_upper_bound,PASS
T009,climb,0,1945.0,2025.2384989420573,direct,,25.06911862942026,obstruction_upper_bound,PASS
T009,cruise,1,2025.2384989420573,2237.3070932374985,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,descent,2,2237.3070932374985,2258.7532919679675,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,handoff,3,2258.7532919679675,2498.7532919679675,direct,,1.882429799933238,obstruction_upper_bound,PASS
T009,climb,4,2498.7532919679675,2516.625124243358,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,cruise,5,2516.625124243358,2728.693718538799,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T009,descent,6,2728.693718538799,2824.979917269268,direct,,25.06911862942026,obstruction_upper_bound,PASS
T010,climb,0,2235.0,2331.2861987304686,direct,,25.069118629420267,obstruction_upper_bound,PASS
T010,cruise,1,2331.2861987304686,2543.35479302591,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T010,descent,2,2543.35479302591,2570.162541438996,direct,,1.8735394127871192,obstruction_upper_bound,PASS
T010,handoff,3,2570.162541438996,2858.162541438996,direct,,1.882429799933238,obstruction_upper_bound,PASS
T010,climb,4,2858.162541438996,2967.436828548371,direct,,1.811985579259483,obstruction_upper_bound,PASS
T010,cruise,5,2967.436828548371,3051.0,direct,,0.5064796289726203,obstruction_upper_bound,PASS
T010,cruise,5,3051.0,3135.2028209483087,relay,R001,3.21256603135382,obstruction_upper_bound,PASS
T010,descent,6,3135.2028209483087,3254.9456798350275,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T010,handoff,7,3254.9456798350275,3578.9456798350275,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T010,climb,8,3578.9456798350275,3640.277869776434,relay,R001,2.916287346872787,obstruction_upper_bound,PASS
T010,cruise,9,3640.277869776434,3942.532645483523,relay,R001,5.684936344501038,independent_swept_cells,PASS
T010,descent,10,3942.532645483523,4129.5978829102805,direct,,20.962509130395112,obstruction_upper_bound,PASS
T011,climb,0,360.0,459.796787516276,direct,,23.02154674108874,obstruction_upper_bound,PASS
T011,cruise,1,459.796787516276,731.0,direct,,1.6635946786496554,obstruction_upper_bound,PASS
T011,cruise,1,731.0,802.0,relay,R003,0.7188306771577473,independent_swept_cells,PASS
T011,cruise,1,802.0,1076.33339936026,relay,R003,0.6379286577039203,independent_swept_cells,PASS
T011,descent,2,1076.33339936026,1135.2495443797914,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T011,handoff,3,1135.2495443797914,1345.2495443797914,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T011,climb,4,1345.2495443797914,1394.3463318960673,relay,R003,0.6259912995168424,independent_swept_cells,PASS
T011,cruise,5,1394.3463318960673,1608.0,relay,R003,0.6379286577039203,independent_swept_cells,PASS
T011,cruise,5,1608.0,2010.8829437400514,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T011,descent,6,2010.8829437400514,2130.6390887595826,direct,,23.02154674108874,obstruction_upper_bound,PASS
T012,climb,0,1910.0,1983.4072314453124,direct,,27.674459657897643,obstruction_upper_bound,PASS
T012,cruise,1,1983.4072314453124,2479.091781332586,relay,R002,0.28939259213529667,independent_swept_cells,PASS
T012,descent,2,2479.091781332586,2524.9508206392265,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T012,handoff,3,2524.9508206392265,2920.9508206392265,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T012,climb,4,2920.9508206392265,2957.638052084539,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
T012,cruise,5,2957.638052084539,3051.0,relay,R002,0.28939259213529667,obstruction_upper_bound,PASS
