partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P12_3_456,G1,S001|S002|S004|S008|S009,37,364.0,9,1,21589.43566906402,32.88767824404557,1,0.4086889044083119,1,0.4384998547953934,2,0.5112702828073934,2,0.33138054562833885,2,0.43681373820234015,3,0.7181254466550235,1,0.6194586672608633,1,0.7113355165089295
P12_3_456,G2,S003|S005|S007|S015,22,210.0,8,2,19983.731488344638,23.41513043231693,4,0.29763396400587394,1,0.1587107030498461,1,0.2808090519781115,4,0.4820594143328195,1,0.3117436179873596,1,0.548613238665586,1,0.5205738425991493,1,0.6103602859922618
P12_3_456,G3,S006|S010|S011|S012|S013|S014,21,184.0,7,1,14523.867773803635,14.283156812128125,1,0.21446720448057396,2,0.6546177591935244,1,0.23353777244996232,1,0.3598103201343488,4,0.6327776750036705,1,0.46947737406341655,1,0.6585643236643866,1,0.7605423462108283
P13456_2,G1,S001|S003|S005|S006|S007|S010|S011|S012|S013|S014|S015,58,548.0,18,3,38810.922494495884,44.28389992019607,4,0.36629130949199545,2,0.4990456727904199,2,0.3715128318129472,4,0.5966411086138387,4,0.48362405148372,3,0.49556856511568204,2,0.4713971980152657,2,0.5489806335377224
P13456_2,G2,S002|S004|S008|S009,22,210.0,6,1,17286.1124367164,26.30206556829455,1,0.3335616949185211,1,0.5637799707149556,2,0.43870169145521914,1,0.5335623967787896,2,0.5616121278911601,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P1345_26,G1,S001|S003|S005|S006|S007|S010|S012|S013|S014|S015,55,523.0,17,3,37621.29220875945,43.20672866566634,4,0.36629130949199545,2,0.43689819644706906,2,0.3715128318129472,4,0.5966411086138387,4,0.42294427060608264,3,0.49556856511568204,2,0.4713971980152657,2,0.5489806335377224
P1345_26,G2,S002|S004|S008|S009|S011,25,235.0,7,1,18475.742722452844,27.37923682282428,1,0.3335616949185211,2,0.3688551527494661,2,0.43870169145521914,1,0.5335623967787896,3,0.4876232440373693,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P1345_2_6,G1,S001|S003|S005|S006|S007|S010|S012|S013|S014|S015,55,523.0,17,3,37621.29220875945,43.20672866566634,4,0.36629130949199545,2,0.43689819644706906,2,0.3715128318129472,4,0.5966411086138387,4,0.42294427060608264,3,0.49556856511568204,2,0.4713971980152657,2,0.5489806335377224
P1345_2_6,G2,S002|S004|S008|S009,22,210.0,6,1,17286.1124367164,26.30206556829455,1,0.3335616949185211,1,0.5637799707149556,2,0.43870169145521914,1,0.5335623967787896,2,0.5616121278911601,3,0.6261229110784489,1,0.7964390078313973,1,0.9145652211288374
P1345_2_6,G3,S011,3,25.0,1,0,1189.6302857364385,1.077171254529726,0,0.0,1,0.5120937769095864,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
P1346_25,G1,S001|S003|S005|S006|S007|S011|S015,46,448.0,14,2,28225.734303723675,34.703035851785,4,0.36629130949199545,1,0.28300565573654773,2,0.3715128318129472,4,0.5966411086138387,2,0.27723137074895454,3,0.49556856511568204,1,0.5205738425991493,1,0.6103602859922618
P1346_25,G2,S002|S004|S008|S009|S010|S012|S013|S014,34,310.0,10,2,27871.300627488617,35.88292963670562,1,0.25943943095670663,2,0.6083933928721064,2,0.34121578983668566,1,0.4149970656372855,4,0.593908024031704,3,0.48698928634125316,2,0.5394981175541989,2,0.6210160070618891
