sortie,phase,phase_index,start,end,mode,margin_lower_db,proof
T008,cruise,5,1112.8345247786847,1192.475079801481,relay,0.7190288162332621,clear_swept_triangle
T008,cruise,5,1192.475079801481,1272.115634824277,direct,0.8308139457687957,obstruction_bound
T008,cruise,5,1272.115634824277,1431.3967448698693,direct,4.317880047245723,obstruction_bound
T008,descent,6,1431.3967448698693,1554.5713591276817,direct,22.759839664518097,obstruction_bound
T009,climb,0,4485.919766504683,4630.621145899215,direct,19.603583756332725,obstruction_bound
T009,cruise,1,4630.621145899215,4933.165543438958,direct,0.6898448822127534,obstruction_bound
T009,cruise,1,4933.165543438958,5008.801642823894,relay,3.2873879035518314,obstruction_bound
T009,cruise,1,5008.801642823894,5084.43774220883,relay,5.685257009982124,clear_swept_triangle
T009,cruise,1,5084.43774220883,5160.073841593766,relay,5.685257009982124,clear_swept_triangle
T009,cruise,1,5160.073841593766,5235.7099409787015,relay,3.759217956756302,clear_swept_triangle
T009,descent,2,5235.7099409787015,5325.031596252139,relay,3.7247978112570053,clear_swept_triangle
T009,handoff,3,5325.031596252139,5430.031596252139,relay,3.7247978112570053,clear_swept_triangle
T009,handoff,3,5430.031596252139,5535.031596252139,relay,3.7247978112570053,clear_swept_triangle
T009,climb,4,5535.031596252139,5586.759379455264,relay,3.7247978112570053,clear_swept_triangle
T009,cruise,5,5586.759379455264,5695.690889868354,relay,3.7514579602329974,clear_swept_triangle
T009,cruise,5,5695.690889868354,5804.622400281445,relay,5.134749348861689,clear_swept_triangle
T009,descent,6,5804.622400281445,5812.295740125195,relay,5.547448135539639,clear_swept_triangle
T009,handoff,7,5812.295740125195,5902.295740125195,relay,5.547448135539639,clear_swept_triangle
T009,handoff,7,5902.295740125195,5992.295740125195,relay,5.547448135539639,clear_swept_triangle
T009,climb,8,5992.295740125195,6024.728825248893,relay,5.547448135539639,clear_swept_triangle
T009,cruise,9,6024.728825248893,6087.427842275927,relay,5.564581792113273,clear_swept_triangle
T009,cruise,9,6087.427842275927,6150.126859302962,relay,5.685257009982124,clear_swept_triangle
T009,cruise,9,6150.126859302962,6212.825876329996,relay,5.685257009982124,clear_swept_triangle
T009,cruise,9,6212.825876329996,6275.52489335703,direct,0.38247980482715604,obstruction_bound
T009,cruise,9,6275.52489335703,6526.320961465168,direct,2.290062803548011,obstruction_bound
T009,descent,10,6526.320961465168,6703.960663613605,direct,19.396424967151802,obstruction_bound
T010,climb,0,2538.7887122874713,2663.4988705719766,direct,20.962509130395105,obstruction_bound
T010,cruise,1,2663.4988705719766,2852.4081053889076,direct,4.732132336266204,obstruction_bound
T010,cruise,1,2852.4081053889076,2946.862722797373,direct,1.268287949748668,obstruction_bound
T010,cruise,1,2946.862722797373,3041.3173402058383,relay,5.89065064603038,clear_swept_triangle
T010,descent,2,3041.3173402058383,3102.6495301472446,relay,5.875826859497451,clear_swept_triangle
T010,handoff,3,3102.6495301472446,3207.6495301472446,relay,5.875826859497451,clear_swept_triangle
T010,handoff,3,3207.6495301472446,3312.6495301472446,relay,5.875826859497451,clear_swept_triangle
T010,climb,4,3312.6495301472446,3363.75968843175,relay,5.875826859497451,clear_swept_triangle
T010,cruise,5,3363.75968843175,3458.2143058402153,relay,5.89065064603038,clear_swept_triangle
T010,cruise,5,3458.2143058402153,3552.6689232486806,direct,1.268287949748668,obstruction_bound
T010,cruise,5,3552.6689232486806,3741.578158065611,direct,4.732132336266204,obstruction_bound
T010,descent,6,3741.578158065611,3891.2303480070177,direct,20.962509130395105,obstruction_bound
T011,climb,0,1944.5713591276817,2093.852633541744,direct,19.320069836068825,obstruction_bound
T011,cruise,1,2093.852633541744,2274.216287558501,direct,3.1937457809478644,obstruction_bound
T011,cruise,1,2274.216287558501,2364.398114566879,relay,0.7190288162332621,clear_swept_triangle
T011,cruise,1,2364.398114566879,2454.579941575257,relay,0.7190288162332621,obstruction_bound
T011,descent,2,2454.579941575257,2544.397470872132,relay,0.7190288162332621,obstruction_bound
T011,handoff,3,2544.397470872132,2664.397470872132,relay,0.7190288162332621,obstruction_bound
T011,handoff,3,2664.397470872132,2784.397470872132,relay,0.7190288162332621,obstruction_bound
T011,climb,4,2784.397470872132,2859.245411952861,relay,0.7190288162332621,obstruction_bound
T011,cruise,5,2859.245411952861,2949.4272389612397,relay,0.7190288162332621,obstruction_bound
