scheme,sortie,model,resource_type,resource_id,activity,start_s,end_s
delivery_priority,T008,A,battery,A04,flight,0.0,1316.0142144169886
delivery_priority,T008,A,battery,A04,charging,1316.0142144169886,2194.736329391266
delivery_priority,T009,C,aircraft,U08,flight,1561.4261775174655,2990.852355034931
delivery_priority,T009,C,battery,C03,flight,1561.4261775174655,2990.852355034931
delivery_priority,T009,C,battery,C03,charging,2990.852355034931,4468.281647586715
delivery_priority,T010,A,aircraft,U01,flight,1312.470877312685,2915.0636132928576
delivery_priority,T010,A,battery,A05,flight,1312.470877312685,2915.0636132928576
delivery_priority,T010,A,battery,A05,charging,2915.0636132928576,3979.5307750095417
delivery_priority,T011,A,aircraft,U04,flight,1316.0142144169886,3327.0654377679843
delivery_priority,T011,A,battery,A06,flight,1316.0142144169886,3327.0654377679843
delivery_priority,T011,A,battery,A06,charging,3327.0654377679843,4673.647209186882
delivery_priority,T012,C,aircraft,U07,flight,2404.597882910281,4519.679524188734
delivery_priority,T012,C,battery,C04,flight,2404.597882910281,4519.679524188734
delivery_priority,T012,C,battery,C04,charging,4519.679524188734,7012.345241640402
delivery_priority,T013,B,aircraft,U06,flight,1859.7496914170222,4142.361841307587
delivery_priority,T013,B,battery,B03,flight,1859.7496914170222,4142.361841307587
delivery_priority,T013,B,battery,B03,charging,4142.361841307587,6081.37096886256
delivery_priority,T014,B,aircraft,U05,flight,1944.0244440219892,3773.5974365122993
delivery_priority,T014,B,battery,B04,flight,1944.0244440219892,3773.5974365122993
delivery_priority,T014,B,battery,B04,charging,3773.5974365122993,5441.655235487428
delivery_priority,T015,C,aircraft,U08,flight,3231.8737791612284,5667.683300018876
delivery_priority,T015,C,battery,C02,flight,3231.8737791612284,5667.683300018876
delivery_priority,T015,C,battery,C02,charging,5667.683300018876,8166.03757999339
delivery_priority,T016,B,aircraft,U05,flight,3773.5974365122993,5731.638707999295
delivery_priority,T016,B,battery,B02,flight,3773.5974365122993,5731.638707999295
delivery_priority,T016,B,battery,B02,charging,5731.638707999295,7690.884335484885
delivery_priority,T017,A,aircraft,U02,flight,2178.7887122874713,4362.748113260456
delivery_priority,T017,A,battery,A01,flight,2178.7887122874713,4362.748113260456
delivery_priority,T017,A,battery,A01,charging,4362.748113260456,5757.912844978971
delivery_priority,T018,A,aircraft,U03,flight,2194.736329391266,4457.013322219511
delivery_priority,T018,A,battery,A04,flight,2194.736329391266,4457.013322219511
delivery_priority,T018,A,battery,A04,charging,4457.013322219511,5818.241210426836
delivery_priority,T019,B,aircraft,U06,flight,4142.361841307587,6609.549884781674
delivery_priority,T019,B,battery,B01,flight,4142.361841307587,6609.549884781674
delivery_priority,T019,B,battery,B01,charging,6609.549884781674,8640.446978508837
delivery_priority,T020,C,aircraft,U07,flight,4519.679524188734,6692.8635891565755
delivery_priority,T020,C,battery,C01,flight,4519.679524188734,6692.8635891565755
delivery_priority,T020,C,battery,C01,charging,6692.8635891565755,9026.614641677856
delivery_priority,T021,B,aircraft,U05,flight,5731.638707999295,7629.679979486289
delivery_priority,T021,B,battery,B04,flight,5731.638707999295,7629.679979486289
delivery_priority,T021,B,battery,B04,charging,7629.679979486289,9496.8621314039
delivery_priority,T022,A,aircraft,U01,flight,2915.0636132928576,4457.656349273029
delivery_priority,T022,A,battery,A03,flight,2915.0636132928576,4457.656349273029
delivery_priority,T022,A,battery,A03,charging,4457.656349273029,5497.138418545352
delivery_priority,T023,C,aircraft,U08,flight,5667.683300018876,7415.7279406546895
delivery_priority,T023,C,battery,C03,flight,5667.683300018876,7415.7279406546895
delivery_priority,T023,C,battery,C03,charging,7415.7279406546895,9278.751237193252
delivery_priority,T024,A,aircraft,U04,flight,3327.0654377679843,4550.600651302465
delivery_priority,T024,A,battery,A02,flight,3327.0654377679843,4550.600651302465
delivery_priority,T024,A,battery,A02,charging,4550.600651302465,5384.408958180655
delivery_priority,T025,A,aircraft,U02,flight,4362.748113260456,5994.2825994994055
delivery_priority,T025,A,battery,A05,flight,4362.748113260456,5994.2825994994055
delivery_priority,T025,A,battery,A05,charging,5994.2825994994055,7119.574702189868
energy_guarded,T001,C,aircraft,U07,flight,0.0,2115.081641278453
energy_guarded,T001,C,battery,C01,flight,0.0,2115.081641278453
energy_guarded,T001,C,battery,C01,charging,2115.081641278453,4607.747358730121
energy_guarded,T002,C,aircraft,U08,flight,0.0,1495.4261775174655
energy_guarded,T002,C,battery,C02,flight,0.0,1495.4261775174655
energy_guarded,T002,C,battery,C02,charging,1495.4261775174655,3052.6165531873967
energy_guarded,T003,B,aircraft,U05,flight,0.0,1944.0244440219892
energy_guarded,T003,B,battery,B01,flight,0.0,1944.0244440219892
energy_guarded,T003,B,battery,B01,charging,1944.0244440219892,3808.1313217671122
energy_guarded,T004,C,aircraft,U08,flight,1495.4261775174655,3384.6505836679726
energy_guarded,T004,C,battery,C03,flight,1495.4261775174655,3384.6505836679726
energy_guarded,T004,C,battery,C03,charging,3384.6505836679726,5139.724388207724
energy_guarded,T005,B,aircraft,U06,flight,0.0,1210.3573074816584
energy_guarded,T005,B,battery,B02,flight,0.0,1210.3573074816584
energy_guarded,T005,B,battery,B02,charging,1210.3573074816584,2343.7606215473797
energy_guarded,T006,B,aircraft,U06,flight,1210.3573074816584,3054.8961976372257
energy_guarded,T006,B,battery,B03,flight,1210.3573074816584,3054.8961976372257
energy_guarded,T006,B,battery,B03,charging,3054.8961976372257,4643.558160716608
energy_guarded,T007,A,aircraft,U01,flight,0.0,1653.8524691732741
energy_guarded,T007,A,battery,A01,flight,0.0,1653.8524691732741
energy_guarded,T007,A,battery,A01,charging,1653.8524691732741,2717.9194882703496
energy_guarded,T008,A,aircraft,U02,flight,0.0,1316.0142144169886
energy_guarded,T008,A,battery,A02,flight,0.0,1316.0142144169886
energy_guarded,T008,A,battery,A02,charging,1316.0142144169886,2194.736329391266
energy_guarded,T009,C,aircraft,U07,flight,2115.081641278453,3548.116724156445
energy_guarded,T009,C,battery,C04,flight,2115.081641278453,3548.116724156445
energy_guarded,T009,C,battery,C04,charging,3548.116724156445,5011.357484946834
energy_guarded,T010,A,aircraft,U03,flight,0.0,1602.5927359801724
energy_guarded,T010,A,battery,A03,flight,0.0,1602.5927359801724
energy_guarded,T010,A,battery,A03,charging,1602.5927359801724,2667.0598976968568
energy_guarded,T011,C,aircraft,U08,flight,3384.6505836679726,4880.076761185438
energy_guarded,T011,C,battery,C02,flight,3384.6505836679726,4880.076761185438
energy_guarded,T011,C,battery,C02,charging,4880.076761185438,6423.287679205691
energy_guarded,T012,B,aircraft,U05,flight,1944.0244440219892,3977.3373453358945
energy_guarded,T012,B,battery,B04,flight,1944.0244440219892,3977.3373453358945
energy_guarded,T012,B,battery,B04,charging,3977.3373453358945,5808.460645843568
energy_guarded,T013,C,aircraft,U07,flight,4607.747358730121,6801.8749196865165
energy_guarded,T013,C,battery,C01,flight,4607.747358730121,6801.8749196865165
energy_guarded,T013,C,battery,C01,charging,6801.8749196865165,9220.598064991244
energy_guarded,T014,B,aircraft,U06,flight,3054.8961976372257,4884.4691901275355
energy_guarded,T014,B,battery,B02,flight,3054.8961976372257,4884.4691901275355
energy_guarded,T014,B,battery,B02,charging,4884.4691901275355,6552.526989102665
energy_guarded,T015,A,aircraft,U04,flight,0.0,2262.2769928282455
energy_guarded,T015,A,battery,A04,flight,0.0,2262.2769928282455
energy_guarded,T015,A,battery,A04,charging,2262.2769928282455,3623.504881035571
energy_guarded,T016,A,aircraft,U02,flight,1316.0142144169886,3499.9736153899735
energy_guarded,T016,A,battery,A05,flight,1316.0142144169886,3499.9736153899735
energy_guarded,T016,A,battery,A05,charging,3499.9736153899735,4895.138347108489
energy_guarded,T017,B,aircraft,U05,flight,3977.3373453358945,5934.091941842073
energy_guarded,T017,B,battery,B01,flight,3977.3373453358945,5934.091941842073
energy_guarded,T017,B,battery,B01,charging,5934.091941842073,7684.395320881378
energy_guarded,T018,C,aircraft,U08,flight,5011.357484946834,7597.146762382647
energy_guarded,T018,C,battery,C04,flight,5011.357484946834,7597.146762382647
energy_guarded,T018,C,battery,C04,charging,7597.146762382647,10078.678915471408
energy_guarded,T019,C,aircraft,U07,flight,6801.8749196865165,9237.684440544164
energy_guarded,T019,C,battery,C02,flight,6801.8749196865165,9237.684440544164
energy_guarded,T019,C,battery,C02,charging,9237.684440544164,11736.038720518678
energy_guarded,T020,A,aircraft,U03,flight,1602.5927359801724,3196.4452051534463
energy_guarded,T020,A,battery,A06,flight,1602.5927359801724,3196.4452051534463
energy_guarded,T020,A,battery,A06,charging,3196.4452051534463,4235.429418885115
energy_guarded,T021,A,aircraft,U01,flight,2194.736329391266,3418.271542925747
energy_guarded,T021,A,battery,A02,flight,2194.736329391266,3418.271542925747
energy_guarded,T021,A,battery,A02,charging,3418.271542925747,4252.079849803937
energy_guarded,T022,C,aircraft,U08,flight,7597.146762382647,9345.19140301846
energy_guarded,T022,C,battery,C03,flight,7597.146762382647,9345.19140301846
energy_guarded,T022,C,battery,C03,charging,9345.19140301846,11208.214699557022
energy_guarded,T023,A,aircraft,U04,flight,2667.0598976968568,3830.595111231338
energy_guarded,T023,A,battery,A03,flight,2667.0598976968568,3830.595111231338
energy_guarded,T023,A,battery,A03,charging,3830.595111231338,4649.7523514469385
energy_guarded_timely,T001,B,aircraft,U05,flight,0.0,1434.5713591276817
